nを切り捨てながらn2分の一にする	n //= n2
折れ線グラフをグリーンイエロー色で描画する	plt.plot(データ列x, データ列y, color='greenyellow')
文字列の先頭でASCII限定として正規表現にマッチさせる	re.match(pattern, s, flags=re.ASCI)
日付時刻データが日曜日か調べる	aDatetime.weekday() == 6
option: グラフの色をライトコーラルに設定する	color = 'lightcoral'
アクアマリン色のヒストグラムを描画する	plt.hist(データ列, color='aquamarine')
クリムゾン色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='crimson')
リストを等量でビン数nでビン分割する	pd.qcut(aList, n)
棒グラフをライトグレー色で描画する	plt.bar(データ列x, データ列y, color='lightgrey')
オレンジ色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='orange')
棒グラフの色をラベンダーにする	plt.bar(データ列x, データ列y, color='lavender')
棒グラフをカーキ色で描画する	plt.bar(データ列x, データ列y, color='khaki')
三角印で散布図を描画する	plt.scatter(データ列x, データ列y, marker='^')
カウンタから最頻出な項目の件数	aCounter.most_common()[1]
辞書に要素をキーとして加える	aDict[key] = element
赤い左三角マーカーで散布図を描画する	plt.plot(データ列x, データ列y, marker='<', c='r')
アイボリー色のヒストグラムを描画する	plt.hist(データ列, color='ivory')
文字列を下線付きにする	f'\033[4m{value}\033[0m'
nの桁数	len(str(n))
既存の配列を元に全要素が初期値の配列	np.full_like(aArray, 初期値)
ディムグレー色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='dimgray')
データフレームの指定したカラムが正規分布からどの程度、尖っているか見る	df['列A'].skew()
ファイルのディレクトリ名	os.path.dirname(filepath)
n割るmの有理数表現	fractions.Fraction(numerator=n, denominator=m)
ヒストグラムの色をスカイブルーに設定する	plt.hist(データ列, color='skyblue')
散布図をブランチドアーモンド色で描画する	plt.scatter(データ列x, データ列y, color='blanchedalmond')
リストとリストについて散布図を描画して、バツマーカーの色をrgbに設定する	plt.plot(データ列x, データ列y, marker='x', c=rgb)
棒グラフをサドルブラウン色で描画する	plt.bar(データ列x, データ列y, color='saddlebrown')
棒グラフを暗い赤色で描画する	plt.bar(データ列x, データ列y, color='darkred')
散布図のポイントマーカーの線幅を変更する	plt.scatter(データ列x, データ列y, marker='.', markeredgewidth=2.5)
option: ドジャーブルー色を使う	color = 'dodgerblue'
折れ線グラフの色をダークグリーンに設定する	plt.plot(データ列x, データ列y, color='darkgreen')
データフレームの指定したカラムの中央値	df['列A'].median()
ヒストグラムをゴーストホワイト色で描画する	plt.hist(データ列, color='ghostwhite')
カラーバーを付ける	plt.colorbar()
文字列の右側から改行を取り除く	s.rstrip('\n')
二つの文字列を順にプリントする	print(value, value2)
横棒グラフを茶色色で描画する	plt.barh(データ列x, データ列y, color='brown')
ふたつのリストの積集合	list(set(aList) & set(aList2))
日付時刻データが月曜日か調べる	aDatetime.weekday() == 0
Pythonパスの一覧	sys.path
横棒グラフをディープスカイブルー色で描画する	plt.barh(データ列x, データ列y, color='deepskyblue')
ヒストグラムの色をダークシアグリーンに設定する	plt.hist(データ列, color='darkseagreen')
散布図を紺色で描画する	plt.scatter(データ列x, データ列y, color='darkblue')
タプルの要素を逆順にする	aTuple[::-1]
データシリーズの最頻値	ds.mode()
データフレームを見る	df.head()
データフレームの指定したカラムの欠損値を直後の値に設定する	df['列A'].fillna(method='bfill')
nをn2で割った結果を切り上げる	(n + n2 - 1) // n2
折れ線グラフのダイアモンドマーカーの大きさを変更する	plt.plot(データ列x, データ列y, marker='D', markersize=2.0)
散布図をタン色で描画する	plt.scatter(データ列x, データ列y, color='tan')
二つの浮動小数点数が十分に近いか調べる	math.isclose(x, x2)
棒グラフをペルー色で描画する	plt.bar(データ列x, データ列y, color='peru')
データフレームからランダムに100行を抽出する	df.sample(100)
現在の作業ディレクトリ	os.getcwd()
折れ線グラフの色をゴーストホワイトに設定する	plt.plot(データ列x, データ列y, color='ghostwhite')
ローングリーン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='lawngreen')
リストとリストについての散布図に左三角マーカーを描画する	plt.plot(データ列x, データ列y, marker='<')
データフレームのあるカラムが何曜日か見る	df['列A'].dt.weekday_name
折れ線グラフの色をネイビーに設定する	plt.plot(データ列x, データ列y, color='navy')
n2がnより大きく、かつ、n3未満か調べる	n < n2 and n2 < n3
データフレームの選択したカラムを10の位で丸める	df[['列A', '列B']].round(-1)
散布図のバツマーカーを青くする	plt.scatter(データ列x, データ列y, marker='x', markerfacecolor='b')
データフレームを千の位で丸めて、整数型にする	df.round(-3).astype(int)
文字列内にひとつでも英数字が含まれるか調べる	any(c.isalnum() for c in s)
散布図をバリーウッド色で描画する	plt.scatter(データ列x, データ列y, color='burlywood')
折れ線グラフの色をライトゴールドロディイエローに設定する	plt.plot(データ列x, データ列y, color='lightgoldenrodyellow')
折れ線グラフの色をラベンダーに設定する	plt.plot(データ列x, データ列y, color='lavender')
散布図に赤いバツマーカーを使う	plt.plot(データ列x, データ列y, marker='x', c='r')
折れ線グラフの色をアンティークホワイトに設定する	plt.plot(データ列x, データ列y, color='antiquewhite')
リストをビン分割する	pd.cut(aList, aList)
ライトグレー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='lightgray')
配列をn個にビン分割して、namesのラベルをつける	pd.cut(aArray, n, labels=names)
横棒グラフの色をパウダーブルーにする	plt.barh(データ列x, データ列y, color='powderblue')
カウンタの上位を列挙する	aCounter.most_common(k)
配列を平坦化する	aArray.flatten()
散布図にrgbの下三角マーカーを使う	plt.plot(データ列x, データ列y, marker='v', c=rgb)
日付時刻データををn日後に進める	aDatetime + datetime.timedelta(days=n)
option: ディープスカイブルー色を使う	color = 'deepskyblue'
文字列をシンボルに変換する	sympy.Symbol(s)
option: グラフの色をミディアムアクアマリンに設定する	color = 'mediumaquamarine'
折れ線グラフの色をオリーブに設定する	plt.plot(データ列x, データ列y, color='olive')
散布図の色をシアンにする	plt.scatter(データ列x, データ列y, color='cyan')
チョコレート色のヒストグラムを描画する	plt.hist(データ列, color='chocolate')
三つのデータフレームを縦方向に結合する	pd.concat([df, df2, df3], axis=0)
折れ線グラフの色をコーンフラワーブルーに設定する	plt.plot(データ列x, データ列y, color='cornflowerblue')
オプションで、標準エラーを使う	file = sys.stderr
棒グラフをミディアムバイオレットレッド色で描画する	plt.bar(データ列x, データ列y, color='mediumvioletred')
option: カンマをセパレータで使う	sep = ','
集合をタプルに変換する	tuple(aSet)
ハニーデュー色のヒストグラムを描画する	plt.hist(データ列, color='honeydew')
コーンズシルク色の線グラフを描画する	plt.plot(データ列x, データ列y, color='cornsilk')
両端キューの大きさ	len(deq)
ある列の値がxに等しく、かつ別の列の値がyに等しい行を抽出する	df[(df['列A'] == x) & (df['列B'] == y)]
