折れ線の線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n)
二つのデータフレームを横方向にマージする	pd.merge(df, df2)
集合に列の要素を全て追加する	aSet.update(iterable)
データ列を日付データに変換する	pd.to_datetime(ds)
既存のファイルパスをUTF8を使って追加できるようにオープンする]	open(filepath, mode='a', encoding='utf-8')
文字列の開始位置以降が部分文字列で始まるかどうか調べる	s.startswith(sub, start)
リストとデータ列の折れ線グラフを描き、、untitledとラベル付けする	plt.plot(xdata, ydata, label=untitled)
データフレームのカラムのタイムゾーンを日本に設定する	df[col].tz_convert('Asia/Tokyo')
列の長さnの順列	itertools.permutations(iterable, n)
本日が土曜日か調べる	datetime.datetime.today().weekday() == 5
二つのリストをスラッシュで区切って表示する	print(value, value2, sep='/')
パステル調の色でリストとリストについての散布図を描画する	plt.plot(xdata, ydata, c='pastel')
Pandasで、データフレームのcollのエポック秒から日付データにする	pd.to_datetime(df[col], unit='s', utc=True)
空文字を使う	''
インプレイスでデータフレームのn行目を削除する	df.drop(n, axis=0, inplace=True)
＜オプション＞マルーン色を使う	color = 'maroon'
本日をISO形式の文字列に変換する	datetime.datetime.today().isoformat()
各列毎にデータフレームをグループ化し、列の平均値を求める	df.groupby(column)[column2].mean()
折れ線グラフのポイントマーカーの大きさをnにセットする	plt.plot(データ列, データ列2, marker='.', markersize=n)
Pandasで、フォーマットでデータフレームのcollを日付データに変換する	pd.to_datetime(df[col], format='%Y-%m-%d')
ヒストグラムの色をミディアムスレートブルーにする	plt.hist(データ列, color='mediumslateblue')
日付データが日付データより後ろかどうか確認する	aDate > aDate2
untitledとラベル付けしてイテラブルと配列の折れ線グラフを描画する	plt.plot(xdata, ydata, label=untitled)
データフレームをグループ化し、それぞれの列に対し合計を算出する	df.groupby(column)[column2].sum()
Pandasで、データフレームのカラムをタイムスタンプ型に変換し、データフレームのインデックスにする	df.index = pd.DatetimeIndex(pd.to_datetime(df[col]))
文字列を末尾から部分文字列で区切る	s.rsplit(sub)
折れ線グラフの星印を黄色くする	plt.plot(データ列, データ列2, marker='*', markerfacecolor='y')
箱ひげ図を2つ並べて描く	plt.boxplot([データ列, データ列2])
ヒストグラムを描画してその色をミディアムスレートブルーに設定する	plt.hist(データ列, color='mediumslateblue')
エクセルデータファイルのn番目のシートをデータフレームとして読み込む	pd.read_excel(filename, sheet_name=n)
淡い色のマーカーとして重なりを見やすく散布図を描画する	plt.plot(xdata, ydata, c='muted', alpha=0.5)
ヒストグラムの色をイエローグリーンに設定する	plt.hist(データ列, color='yellowgreen')
＜オプション＞ローングリーン色を使う	color = 'lawngreen'
グラフのタイトルをuntitledに設定する	plt.title(untitled)
レベッカパープル色のヒストグラムを描画する	plt.hist(データ列, color='rebeccapurple')
ヒストグラムを破線として描画する	plt.hist(データ列, linestyle='dashed')
データ列のユニークな値	ds.unique()
データフレームのリストカラムの欠損値を中央値に設定する	df[aList].fillna(df[aList].median())
データフレームの列をドロップする	df.drop(column, axis=1)
色差別ないグラフの色を赤にする	plt.plot(xdata, ydata, linestyle='colorblind', color='r')
リストと数列の青いパステル調のグラフを描画する	plt.plot(xdata, ydata, linestyle='pastel', color='b')
小数点数の自然対数を求める	math.log(x)
リストと数列について明るい色の折れ線グラフを描き、、線幅をnにセットする	plt.plot(xdata, ydata, linewidth=n, color='bright')
プラットホームがマックか	sys.platform.startswith('darwin')
文字列をエンコーディングでバイト列に変換する	s.encode(encoding=encoding)
文字列がリストの要素でないか	element not in aList
ヒストグラムを描画して、その色をミディアムオーキッドにする	plt.hist(データ列, color='mediumorchid')
データフレームのカラムの中にいくつ欠損値が存在するかカウントする	df[col].isna().sum()
折れ線グラフに大きさnの下三角マーカーを描画する	plt.plot(データ列, データ列2, marker='v', markersize=n)
データフレームのリストカラムの欠損値をxで置換する	df[aList].fillna(x)
＜オプション＞グラフの色をティールに設定する	color = 'teal'
折れ線グラフに緑色の下三角印を描画する	plt.plot(データ列, データ列2, marker='v', markerfacecolor='g')
ヒストグラムの色をオールドレースに指定する	plt.hist(データ列, color='oldlace')
＜オプション＞グラフの色をサーモンに設定する	color = 'salmon'
ヒストグラムを描画して、色をオレンジに指定する	plt.hist(データ列, color='orange')
文字列の中で大文字・小文字を無視してパターンにマッチした全ての文字列をリストに変換する	re.findall(pattern, s, flags=re.IGNORECASE)
＜オプション＞スノーを使用する	color = 'snow'
＜オプション＞グラフの色をシルバーに設定する	color = 'silver'
有理数を用いる	import fractions
折れ線グラフの色をスレートブルーに設定する	plt.plot(データ列, データ列2, color='slateblue')
数列とリストの黒色の淡いグラフをプロットする	plt.plot(xdata, ydata, linestyle='muted', color='k')
データフレームが重複しているかどうか	df.duplicated()
＜オプション＞グラフの色をダークオーキッドに設定する	color = 'darkorchid'
データフレームをJSONLファイルにヘッダを付けずに保存する	df.to_csv(filename, header=None)
＜オプション＞グラフの色をローングリーンに設定する	color = 'lawngreen'
色差別ないグラフをデータ列とデータ列で描いて、その線幅をnに指定する	plt.plot(xdata, ydata, linestyle='colorblind', color=rgb)
キューの最初にリストの各値をつけ加える	deq.extendleft(iterable)
ファイルの拡張子をtextに変更する	os.path.splitext(filepath)[0] + text
日付時刻データからn時間分減らす	aDatetime - datetime.timedelta(hours=n)
グラフに凡例を入れる	plt.legend()
色差別ないの折れ線グラフの線幅をnに変更する	plt.plot(xdata, ydata, linestyle='colorblind', linewidth=n)
第２引数で指定されたファイルの名前	sys.argv[1]
データ列の曜日の名前	ds.dt.weekday_name
折れ線グラフの色をダークオリーブグリーンに設定する	plt.plot(データ列, データ列2, color='darkolivegreen')
データフレームのカラムの曜日が何日目か調べる	df[col].dt.dayofweek
キーが辞書に存在するか調べる	key in aDict
＜オプション＞ミディアムスレートブルーにグラフの色を変更する	color = 'mediumslateblue'
リストとリストの折れ線をカラーコードで描画する	plt.plot(xdata, ydata, color=rgb)
浮動小数点数を複素数にする	complex(x)
線グラフの色をライトスレイグレーに変更する	plt.plot(データ列, データ列2, color='lightslategray')
折れ線グラフの三角マーカーを緑色にする	plt.plot(データ列, データ列2, marker='^', markerfacecolor='g')
