option: 赤色を使う	color = 'red'
散布図のバツマーカーを黒くする	plt.scatter(データ列x, データ列y, marker='x', markerfacecolor='k')
横棒グラフをアンティークホワイト色で描画する	plt.barh(データ列x, データ列y, color='antiquewhite')
アクアマリン色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='aquamarine')
折れ線グラフの色をライトサーモンに設定する	plt.plot(データ列x, データ列y, color='lightsalmon')
折れ線グラフの色をインディアンレッドに設定する	plt.plot(データ列x, データ列y, color='indianred')
ダークオレンジ色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='darkorange')
折れ線グラフを青紫色で描画する	plt.plot(データ列x, データ列y, color='violet')
ライトグレー色で散布図を描画する	plt.scatter(データ列x, データ列y, color='lightgray')
データフレームをCSVファイルにBOM付きで保存する	df.to_csv('file.csv', encoding='utf_8_sig')
両端キューをタプルにする	tuple(deq)
リストとリストについての散布図に黒い三角マーカーを描画する	plt.plot(データ列x, データ列y, marker='^', c='k')
再帰の上限を上げる	sys.setrecursionlimit(1000000)
散布図に大バツマーカーを使う	plt.scatter(データ列x, データ列y, marker='X')
棒グラフをスラグレー色で描画する	plt.bar(データ列x, データ列y, color='slategray')
黒いバツマーカーで散布図を描画する	plt.plot(データ列x, データ列y, marker='x', c='k')
データフレームの指定したカラムの不偏分散	df['列A'].var(ddof=1)
データフレームのあるカラムの曜日名	df['列A'].dt.weekday_name
折れ線グラフの三角マーカーを赤くする	plt.plot(データ列x, データ列y, marker='^', markerfacecolor='r')
データフレームの選択したカラムの空文字を欠損値に変換し、ドロップする	df[['列A', '列B']].replace('', np.nan).dropna()
ファイルを文字コードtextで書き込み用にオープンする]	open(filepath, mode='w', encoding=text)
浮動小数点数を百の位で四捨五入する	round(x, -2)
ヒストグラムを三つ並べて描画する	plt.hist([データ列, データ列, データ列], color=['b', 'r', 'g'])
nullに等しい値	None
データフレームの欠損値を最頻値で埋める	df.fillna(df.mode().iloc[0])
カラーバーを付ける	plt.colorbar()
値を赤色でプリントできる文字列に変換する	f'\033[31m{value}\033[0m'
棒グラフをミディアムパープル色で描画する	plt.bar(データ列x, データ列y, color='mediumpurple')
データシリーズの分	ds.dt.minute
後の値でデータフレームの欠損値を埋める	df.fillna(method='bfill')
ヒストグラムの色をシャルトリューズに設定する	plt.hist(データ列, color='chartreuse')
option: エクセルファイルシートの名前をセットする	sheet_name = ['A', 'B']
データフレームの指定した列の名前一覧の列を抽出する	df[columns]
散布図の色をシルバーにする	plt.scatter(データ列x, データ列y, color='silver')
文字列を最初の部分文字列で分けた場合の後半の文字列	s.partition(sub)[-1]
ミディアムスレートブルー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='mediumslateblue')
データフレームの空文字を未入力値に変換しドロップする	df.replace('', np.nan).dropna()
本日が日曜日か調べる	datetime.datetime.today().weekday() == 6
ヒストグラムの色をゴーストホワイトに設定する	plt.hist(データ列, color='ghostwhite')
ヒストグラムの色をスレートブルーにセットする	plt.hist(データ列, color='slateblue')
データ列をヒストグラムにする	plt.hist(データ列)
散布図に黒い▲マーカーを使用する	plt.plot(データ列x, データ列y, marker='^', c='k')
データフレームをグループ化しそれぞれの個数を求める	df.groupby('列A').count()
データフレームのカラムを散布図で可視化する	sns.scatterplot(data=df, x='列名', y='列名')
ゴーストホワイト色を用いてヒストグラムを描画する	plt.hist(データ列, color='ghostwhite')
ナバホホワイト色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='navajowhite')
文字列の先頭からタブを消す	s.lstrip('\t')
ヒストグラムをブルーバイオレット色で描画する	plt.hist(データ列, color='blueviolet')
kを底とする実数の対数を求める	math.log(x, k)
ファイルが存在するか調べる	os.path.exists(filepath)
データシリーズの欠損値を最小値に指定する	ds.fillna(ds.min())
散布図の色をグリーンイエローにする	plt.scatter(データ列x, データ列y, color='greenyellow')
折れ線グラフの色をシャルトリューズに設定する	plt.plot(データ列x, データ列y, color='chartreuse')
クラス分類を確率的勾配降下で行う	model = sklearn.linear_model.SGDClassifier()
ヒストグラムの色をダークスラテグレーに設定する	plt.hist(データ列, color='darkslategray')
配列が正規分布に従うか仮説検定する	scipy.stats.shapiro(配列)
文字列をマゼンタでプリントできる文字列に変換する	f'\033[35m{value}\033[0m'
文字列の無限イテラブル	itertools.repeat(element)
最後の部分文字列で文字列を分けたときの前半の文字列を使う	s.rpartition(sub)[0]
ダーク・スラテグレーにヒストグラムの色をする	plt.hist(データ列, color='darkslategrey')
横棒グラフの色をアリスブルーにする	plt.barh(データ列x, データ列y, color='aliceblue')
レベッカパープル色の折れ線グラフを描画する	plt.plot(データ列x, データ列y, color='rebeccapurple')
文字列の中でASCII限定として正規表現にマッチした全ての文字列をリストに変換する	re.findall(pattern, s, flags=re.ASCI)
新しいサポートベクター回帰モデルを作る	model = sklearn.svm.SVR(kernel='rbf', C=1e3, gamma=0.1, epsilon=0.1)
ゴールデンロッド色のヒストグラムを描画する	plt.hist(データ列, color='goldenrod')
新しいリッジ回帰とロッソ回帰のハイブリットモデルを作る	model = sklearn.linear_model.ElasticNet()
文字列の開始位置からと終了位置の間に部分文字列が含まれるか調べる	s.find(sub, start, end) != -1
イテラブルを累加したイテラブル	itertools.accumulate(iterable)
星印でデータ列の折れ線グラフを描画する	plt.plot(データ列x, データ列y, marker='*')
折れ線グラフに星マーカーを加える	plt.plot(データ列x, データ列y, marker='*')
文字列は全て数値か調べる	s.isnumeric()
折れ線グラフに赤い右三角マーカーを描画する	plt.plot(データ列x, データ列y, marker='>', markerfacecolor='r')
ロイヤルブルー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='royalblue')
ファイルに文字列を書く	f.write(s)
日付時刻データからn日分、減算する	aDatetime - datetime.timedelta(days=n)
文字列をセパレータで区切り、文字列リストに変換する	s.split(sep)
リストの重複を取り除く	sorted(set(aList), key=aList.index)
バリーウッド色を用いて横棒グラフを描画する	plt.barh(データ列x, データ列y, color='burlywood')
折れ線グラフに青い大バツマーカーを描画する	plt.plot(データ列x, データ列y, marker='X', markerfacecolor='b')
文字列の開始位置と終了位置の間に部分文字列が含まれるか調べる	s.find(sub, start, end) != -1
データ列の平方根平均二乗誤差を求める	np.sqrt(sklearn.metrics.mean_squared_error(データ列, データ列2))
棒グラフをアクア色で描画する	plt.bar(データ列x, データ列y, color='aqua')
折れ線グラフをコーラル色で描画する	plt.plot(データ列x, データ列y, color='coral')
ミディアムターコイズ色を使って棒グラフを描画する	plt.bar(データ列x, データ列y, color='mediumturquoise')
