文字列を複数行対応としてパターンで区切る	re.split(pattern, s, flags=re.MULTILINE)
year年month月day日hour時を日付時刻に変換する	datetime.datetime(year=year, month=month, day=day, hour=hour)
イテラブルから新しいカウンタを作る	collections.Counter(iterable)
＜オプション＞ハニーデューに色を設定する	color = 'honeydew'
JSONを使う	import json
文字列の両端から空白を取り除く	s.strip()
ビン数nとしてデータフレームの中の列を等量でビン分割する	pd.qcut(df[col], n)
文字列が全てアルファベットかどうか調べる	s.isalpha()
日付時刻データををn週間後に進める	aDatetime + datetime.timedelta(weeks=n)
トマト色の線グラフを描画する	plt.plot(データ列, データ列2, color='tomato')
データフレームの重複した行をマスクする	df.duplicated()
折れ線グラフの色をディムグレーに変更する	plt.plot(データ列, データ列2, color='dimgrey')
オプションで、出力先を標準出力に指定する	file = sys.stdout
データフレームを列でグループ化して、それぞれのグループごとの件数を知る	df.groupby(column).size()
イテラブルをぐるぐると繰り返す	itertools.cycle(iterable)
赤い淡いを描画する	plt.plot(xdata, ydata, linestyle='muted', color='r')
ひとつでも非数字が文字列中に含まれる	any(not c.isdigit() for c in s)
データ列のヒストグラムを描画する	plt.hist(ds)
＜オプション＞グラフの色をスラグレーに設定する	color = 'slategrey'
三自然数の最大公約数	math.gcd(n, n2, n3)
ラベンダーブラッシュ色のヒストグラムを描画する	plt.hist(データ列, color='lavenderblush')
改行	'\n'
折れ線グラフを描画して、その色をシアンに設定する	plt.plot(データ列, データ列2, color='cyan')
散布図にカラーコードの右三角マーカーを使う	plt.plot(xdata, ydata, marker='>', c=rgb)
データ列をリストを境界値としてビン分割する	pd.cut(ds, aList)
配列とリストの青い暗いを描画する	plt.plot(xdata, ydata, linestyle='dark', color='b')
緑色の下三角印を折れ線グラフに描画する	plt.plot(データ列, データ列2, marker='v', markerfacecolor='g')
インデント幅nで、辞書をJSON形式の文字列に変換する	json.dumps(aDict, ensure_ascii=False, indent=n)
データフレームの中の列をビン分割する	pd.cut(df[col], aList)
データフレームの列をカテゴリデータに変換する	df[col].astype(object)
ヒストグラムをカラーマップで描画する	"plt.hist(データ列, color=plt.get_cmap(""Spectral""))"
＜オプション＞値を置き換える	inplace = True
折れ線グラフの右三角マーカーを緑色にする	plt.plot(データ列, データ列2, marker='>', markerfacecolor='g')
nを否定する	not n
折れ線グラフの色をコーンフラワーブルーに設定する	plt.plot(データ列, データ列2, color='cornflowerblue')
全要素が1の行列	np.ones(行数, 列数, dtype=np.int)
文字列をゼロ埋めする	s.zfill(文字列幅)
＜オプション＞ダークターコイズ色を使う	color = 'darkturquoise'
リストとリストについての散布図にカラーコードの大バツマーカーを描画する	plt.plot(xdata, ydata, marker='X', c=rgb)
データ列を横軸と指定して、折れ線を描画する	plt.plot(range(len(xdata)), xdata)
文字列を太字にする	f'\033[1m{value}\033[0m'
明るい色のマーカーとして重なりを見やすく散布図を描画する	plt.plot(xdata, ydata, c='bright', alpha=0.5)
正規表現モジュールをインポートする	import re
二進文字列を整数に変換する	int(s, 2)
データフレームのリストカラムの欠損値を最小値に設定する	df[aList].fillna(df[aList].min())
文字列を改行で分割し、文字列リストに変換する	s.splitlines()
日付時刻データをn時間前に戻す	aDatetime - datetime.timedelta(hours=n)
白いヒストグラムを描画する	plt.hist(データ列, color='w')
日付時刻データが木曜日	aDatetime.weekday() == 3
実行結果を緑色にする	f'\033[32m{value}\033[0m'
データフレームのリスト列の未入力値をxに設定する	df[aList].fillna(x)
ヒストグラムをstartからendまでの範囲で描画する	plt.hist(データ列, range=(start, end))
データフレームの列と列の相関行列	df[[column, column2]].corr()
黒色の三角マーカーを散布図に使う	plt.plot(xdata, ydata, marker='^', c='k')
既存の配列を元に全要素が0の配列	np.zeros_like(aArray)
青色のヒストグラムを描画する	plt.hist(データ列, color='blue')
＜オプション＞ブルーバイオレット色を使う	color = 'blueviolet'
n2行n列の二次元リスト	[[0] * n for _ in range(n2)]
日付時刻データにn時間分、加える	aDatetime + datetime.timedelta(hours=n)
折れ線グラフに青い星マーカーを描画する	plt.plot(データ列, データ列2, marker='*', markerfacecolor='b')
小数点数の双曲線正接	math.tanh(x)
ピンク色の線グラフを描画する	plt.plot(データ列, データ列2, color='pink')
文字列の終了位置以前に部分文字列が含まれる	s.find(sub, 0, end) != -1
マッピングに要素をキーとして加える	aDict[key] = element
ピアソンを用いてデータフレームの相関行列	df.corr(method='pearson')
文字列の開始位置番目と終了位置番目の間に部分文字列が含まれないか調べる	s.find(sub, start, end) == -1
データフレームのリストカラムの欠損値を中央値で埋める	df[aList].fillna(df[aList].median())
データフレームのそれぞれのグループごとの分散	df.groupby(column).var()
散布図に黒い下三角マーカーを使う	plt.plot(xdata, ydata, marker='v', c='k')
＜オプション＞グラフの色をインディアンレッドに設定する	color = 'indianred'
ヒストグラムの色をダークサーモンに設定する	plt.hist(データ列, color='darksalmon')
二つの文字列は等しくないか調べる	s != s2
＜オプション＞フォレストグリーン色を使う	color = 'forestgreen'
＜オプション＞グラフの色をモカシンに設定する	color = 'moccasin'
折れ線グラフの三角マーカーを赤くする	plt.plot(データ列, データ列2, marker='^', markerfacecolor='r')
＜オプション＞色をコーラルに指定する	color = 'coral'
＜オプション＞グレー色を使う	color = 'grey'
濃い色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='deep', alpha=0.5)
データ列とリストの青いパステル調のグラフを描く	plt.plot(xdata, ydata, linestyle='pastel', color='b')
データフレームを複数の列によってまとめたグループ	df.groupby(columns)
リストとデータ列についての散布図にカラーコードの下三角マーカーを描画する	plt.plot(xdata, ydata, marker='v', c=rgb)
日付データにn秒分、加算する	aDate + datetime.timedelta(seconds=n)
＜オプション＞ダークグレー色を使う	color = 'darkgrey'
折れ線グラフに描画して、マーカーを星印にする	plt.plot(データ列, データ列2, marker='*')
折れ線グラフを描画して、その色をライトスレイグレーに変更する	plt.plot(データ列, データ列2, color='lightslategray')
文字列が文字列より辞書順で後か調べる	s > s2
文字列全体が正規表現にASCII限定としてマッチするか見る	re.fullmatch(pattern, s, flags=re.ASCI)
日付データが日曜日	aDate.weekday() == 6
折れ線グラフの色をレベッカパープルに設定する	plt.plot(データ列, データ列2, color='rebeccapurple')
散布図に暗い色のマーカーを使う	plt.plot(xdata, ydata, c='dark')
ファイルを書き込みできるようにオープンする]	open(filepath, mode='w')
数式の数値を計算する	float(e)
